"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"KeyDus® 12 in 1 Fruit & Vegetable Chopper Stainless Steel Blade Chopper,Hand Chopper Cutter,Fruit Slicer Cutte,Onion Cutter,Peeler Cutter,Chip Set Cutter,Fruit Chopper Cutter [ Green ]","B0977F2DHS","KeyDus","₹509.00",14,"7,126.00","35,478","n/a",1,4.0,1,8,0,"n/a","Home & Kitchen","n/a","MFN","n/a","n/a","6/14/2021"
"Prestige Plastic Cutter, Green","B08D9TS1RP","Prestige","₹355.00",551,"151,525.00","4,108","₹121.25",19,3.8,239,7,54,"n/a","Home & Kitchen","Standard-Oversize","FBA","5.3x5.3x4.1",0.57,"7/20/2020"
"Vastate Stainless Steel Onion, Chilly, Dry Fruit Vegetable Cutter Chopper","B093ZXFWDV","Vastate","₹318.00",5,"1,590.00","52,549","n/a",2,1.0,1,6,0,"n/a","Home & Kitchen","n/a","FBA","n/a","n/a","5/3/2021"
"Combo of Clever Vegetable Cutter Chopper Slicer with Peeler for Home Kitchen","B08SQS7JZ1","Generic","₹200.00",29,"5,800.00","25,042","n/a",2,4.0,2,6,0,"n/a","Home & Kitchen","n/a","FBA","n/a","n/a","1/12/2021"
"Handy Vegetable Choppers for Kitchen and Vegetable Cutter for Kitchen 5 Blades (950ml) Green Chopper","B097YVQZT7","Blissfull","₹320.00",4,"1,280.00","92,467","n/a",1,"n/a","n/a",6,0,"n/a","Home & Kitchen","n/a","MFN","n/a","n/a","6/24/2021"
"Kitchen Food Cutter Chopper 2-in-1 Clever Multipurpose Food Scissors with Cutting Board Built-in for Chopping Vegetables Meat Fruit Easy to Cut BBQ Tools","B08PCW5WKR","Hoepaid","₹319.00",6,"1,914.00","194,653","n/a",1,3.9,30,7,0,"n/a","Home & Kitchen","Standard-Oversize","FBA","2.8x10.2x1.2",0.41,"12/7/2020"
"Episkey™ Multipurpose Manual Green Vegetable Dry Fruit and Onion Chopper Quick Cutter Machine Kitchen 5 Stainless Steel Blade (Multicolour)","B097STHXBW","Episkey","₹219.00","n/a","n/a","173,987","n/a",1,"n/a","n/a","n/a",0,"n/a","Home & Kitchen","n/a","FBA","n/a","n/a","4/1/2021"
"Primelife XL 900ml Handy Quick Chopper Vegetable Fruit Nut Onion Cutter for Kitchen - Made in India (Multicolor)(900 ml - Set of 2)","B08HLYG8H1","Primelife","₹449.00",20,"8,980.00","18,101","₹196.64",1,5.0,2,5,0,"n/a","Home & Kitchen","Standard-Oversize","FBA","3.9x3.9x3.9",1.10,"9/7/2020"
"DS Store's Twin Chopper, Cutter, Non-Electric Cutter Mixer Quick-Cutter, Quick Handy Chopper for Vegetable (Multycolor)","B097TKX4QF","DS Store's","₹319.00",4,"1,276.00","35,303","₹148.31",1,"n/a","n/a",6,0,"n/a","Home & Kitchen","Standard-Oversize","MFN","2.0x4.7x1.6",0.66,"6/24/2021"
"KRISHIV Combo of 3 Mini Manual Vegetable, Dry Fruit and Onion Handy Chopper and Quick Cutter Machine for Kitchen with 3 Stainless Steel Blade(Green)","B08XPZN691","KRISHIV","₹499.00",23,"11,477.00","66,097","₹172.74",1,3.9,4,5,0,"n/a","Home & Kitchen","Standard-Oversize","MFN","4.7x5.9x3.9",0.88,"3/1/2021"
"MYTHIC® Multipurpose Vegetable and Fruit Chopper Cutter Grater Slicer 12 in 1 Stainless Steel [ Green ]","B095YWZ461","MYTHIC","₹549.00",19,"10,431.00","150,498","₹204.31",1,4.0,1,7,0,"n/a","Home & Kitchen","Standard-Oversize","FBA","2.2x5.4x2.0",1.08,"5/27/2021"
"Anjali Plastic Vegetable and Fruit Cutter, Brown/Silver","B00F2GIHHK","Anjali","₹295.00",752,"221,840.00","3,828","₹151.93",6,4.1,666,6,101,"n/a","Home & Kitchen","Standard-Oversize","FBA","9.6x11.0x2.2",1.10,"9/9/2013"
"NOVEL Vegetable & Fruit Chipser with 11 Blades + 1 Peeler Inside, Vegetable Chopper, Vegetable Slicer, Fruit Cutter, Fruit Slicer, (Chopper, Green)","B07W6FRHXB","NOVEL","₹540.00",126,"68,040.00","23,740","₹201.90",1,3.7,774,8,78,"n/a","Home & Kitchen","Standard-Oversize","FBA","5.4x11.4x4.4",1.76,"5/27/2019"
"MarkUp Zone 9 in 1 Multifunction Magic Rotate Vegetable Cutter with Drain Basket Large Capacity Vegetables Chopper Veggie Shredder Grater Portable Slicer Kitchen Tool with 8 Dicing Blades","B094ZKC9KS","MarkUp","₹420.00",10,"4,200.00","163,516","n/a",1,1.0,1,3,0,"n/a","Home & Kitchen","n/a","MFN","n/a","n/a","5/15/2021"
"DIJITRA FAB 12 in 1 Multi Functional Slicer with Stainless Steel Blades,Household Kitchen for Cutter, Grater, Peeler, Chipper, Chopper, Fruit Cutter, Fruit Slicer, Vegetable Chopper, Vegetable Slicer","B097YKGT9J","DIJITRA FAB","₹449.00",3,"1,347.00","89,494","₹196.64",1,"n/a","n/a",6,0,"n/a","Home & Kitchen","Standard-Oversize","FBA","4.7x4.7x4.7",1.10,"6/25/2021"
"($) Amazon Brand - Solimo Apple Slicer with Storage Cup","B07P6XKGJB","Amazon Brand - Solimo","₹199.00",523,"104,077.00","5,066","₹148.04",1,4.2,817,6,73,"n/a","Home & Kitchen","Standard-Oversize","FBA","5.2x6.8x3.2",0.55,"2/28/2019"
"($) NEERJA ENTERPRISE Mini Garlic Chopper, Powerful Mini Onion Chopper Electric Food Chopper Garlic Mincer Electric Garlic Press Small Food Processor to Chop Fruits Vegetables Garlic Onion","B098BBVNRG","Neerja","₹899.00","n/a","n/a","n/a","n/a",1,"n/a","n/a",9,0,"n/a","Home & Kitchen","n/a","n/a","n/a","n/a","6/30/2021"
"($) DJIVAN 7 in 1 Multifunction Vegetable Cutter with Drain Basket Magic Rotate Vegetable Cutter Portable Slicer Chopper","B097YSTPJQ","DJIVAN","₹549.00",8,"4,392.00","114,754","n/a",1,"n/a","n/a",9,0,"n/a","Home & Kitchen","n/a","MFN","n/a","n/a","6/25/2021"
"($) Signoraware Quick Chopper Square (2 in 1) Jumbo Multipurpose Manual Vegetable, Dry Fruit and Onion Handy quick Chopper Machine for Kitchen with 6 Stainless Steel Blade and Whisker, 900ml, Cocoa Grey","B08SKJS2CL","Signoraware","₹330.00","6,319","2,085,270.00",255,"₹180.48",7,3.8,866,9,449,"n/a","Home & Kitchen","Standard-Oversize","FBA","4.9x5.7x4.8",0.66,"1/9/2021"
